id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
763756958,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajmę mieszkanie Olchowe Wzgórze obok Asseco,1700.0,PLN,Parter,yes,blok,37,two,300
699605830,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,wynajmę nowe mieszkanie 3 pokojowe Capital Towers 52m2,2400.0,PLN,4,yes,apartamentowiec,52,three,350
614627285,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie Dąbrowskiego Piastów Politechnika,1750.0,PLN,4,yes,blok,46,two,500
717176610,Sanok,sanok,,Podkarpackie,podkarpackie,Mieszkanie 2 pokojowe,1250.0,PLN,3,yes,blok,38,two,290
760332391,Dębica,debica,,Podkarpackie,podkarpackie,kawalerka wynajmę,1100.0,PLN,Parter,yes,blok,31,two,650
757852611,Rudnik nad Sanem,rudnik-nad-sanem,,Podkarpackie,podkarpackie,Mieszkanie Kawalerka 26 m2 Rudnik nad Sanem,650.0,PLN,3,no,pozostale,34,one,170
763718708,Strzyżów,strzyzow,,Podkarpackie,podkarpackie,Do wynajęcia 3-pokojowe mieszkanie w Strzyżowie,800.0,PLN,4,yes,blok,62,three,540
662656478,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie do wynajęcia od 01.09.2022. Miejsce postojowe w garażu,2200.0,PLN,3,yes,apartamentowiec,50.19,two,400
683137235,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Nowe Jasne Na Wynajem + Garaż Podziemny (+Opcja Sprzątania),1750.0,PLN,Powyżej 10,yes,blok,33,two,450
762453705,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajmę mieszkanie na Architektów od 1 sierpnia,2300.0,PLN,10,yes,blok,60,three,300
763717421,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Kawalerka w okolicy ul. Hetmańskiej,1000.0,PLN,3,yes,blok,27.5,one,450
761082612,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"59 metrowe, 3 pokojowe mieszkanie - Bulwary Park",2500.0,PLN,3,yes,apartamentowiec,59,three,1
763704620,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajmę mieszkanie,2400.0,PLN,8,yes,blok,40,two,1
763703706,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie na wynajem,2400.0,PLN,9,yes,blok,40,two,1
740262635,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Tanie mieszkanie  2 pokojowe,1500.0,PLN,Parter,yes,blok,40,two,500
627273834,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajme mieszkanie Rzeszów Popiełuszki Nowe Miasto,1700.0,PLN,4,yes,blok,50,three,650
731986557,Tarnobrzeg,tarnobrzeg,,Podkarpackie,podkarpackie,Wynajmę mieszkanie 3 pokojowe Tarnobrzeg,950.0,PLN,Parter,yes,blok,54,three,360
605350631,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie na Architektów,1600.0,PLN,4,yes,blok,38,two,200
762582285,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie 3 pokoje z garażem,3000.0,PLN,3,yes,szeregowiec,60,three,390
752839930,Dębica,debica,,Podkarpackie,podkarpackie,Wynajem mieszkania ul. Konrskiego 4 pietro umeblowane.,1000.0,PLN,2,yes,blok,46,two,670
764093484,Mielec,mielec,,Podkarpackie,podkarpackie,Wynajmę mieszkanie 3 pokojowe świeżo po remoncie,1800.0,PLN,1,yes,blok,48,three,1
645702411,Jarosław,jaroslaw,,Podkarpackie,podkarpackie,Mieszkanie do wynajęcia od ręki w centrum Jarosławia.,1600.0,PLN,3,yes,kamienica,65,two,1234
765736534,Dębica,debica,,Podkarpackie,podkarpackie,Mieszkanie na wynajem,12345.0,PLN,Parter,yes,blok,45,one,350
